 Task1
new spring created 
Position: [-1.71, 39.26, 28.63] | Force: 0.0 | Vector: [-0.8, -0.58, 0.17]
Position: [-28.65, 83.02, 53.73] | Force: 3.17 | Vector: [-0.84, 0.53, 0.1]
Position: [-28.56, 82.93, 53.85] | Force: 3.18 | Vector: [-0.84, 0.53, 0.09]
Position: [-28.45, 82.79, 53.76] | Force: 3.24 | Vector: [-0.83, 0.53, 0.17]
Position: [-28.43, 82.65, 54.29] | Force: 3.27 | Vector: [-0.83, 0.52, 0.2]
Position: [-28.41, 82.54, 54.69] | Force: 3.28 | Vector: [-0.82, 0.53, 0.21]
Position: [-28.45, 82.45, 55.1] | Force: 3.27 | Vector: [-0.83, 0.53, 0.2]
Position: [-28.47, 82.36, 55.23] | Force: 3.27 | Vector: [-0.82, 0.53, 0.19]
Position: [-28.53, 82.3, 55.24] | Force: 3.27 | Vector: [-0.82, 0.53, 0.19]
Position: [-28.54, 82.28, 55.18] | Force: 3.27 | Vector: [-0.82, 0.53, 0.19]
Position: [-28.6, 82.25, 55.03] | Force: 3.27 | Vector: [-0.82, 0.54, 0.2]
Position: [-28.62, 82.26, 54.84] | Force: 3.28 | Vector: [-0.82, 0.53, 0.2]
Position: [-28.68, 82.28, 54.6] | Force: 3.27 | Vector: [-0.82, 0.53, 0.21]
Position: [-28.68, 82.33, 54.46] | Force: 3.28 | Vector: [-0.82, 0.53, 0.22]
Position: [-28.71, 82.37, 54.29] | Force: 3.27 | Vector: [-0.82, 0.53, 0.22]
Position: [-28.68, 82.44, 54.2] | Force: 3.27 | Vector: [-0.82, 0.53, 0.22]
Position: [-28.69, 82.48, 54.12] | Force: 3.27 | Vector: [-0.82, 0.53, 0.23]
Position: [-28.64, 82.55, 54.08] | Force: 3.27 | Vector: [-0.82, 0.53, 0.23]
Position: [-28.64, 82.6, 54.03] | Force: 3.27 | Vector: [-0.82, 0.52, 0.23]
Position: [-28.58, 82.63, 54.06] | Force: 3.28 | Vector: [-0.82, 0.52, 0.23]
Position: [-28.59, 82.62, 54.05] | Force: 3.28 | Vector: [-0.82, 0.52, 0.23]
Position: [-28.55, 82.61, 54.14] | Force: 3.28 | Vector: [-0.82, 0.52, 0.23]
Position: [-28.56, 82.57, 54.18] | Force: 3.28 | Vector: [-0.82, 0.52, 0.22]
Position: [-28.53, 82.53, 54.31] | Force: 3.28 | Vector: [-0.82, 0.53, 0.22]
Position: [-28.54, 82.45, 54.41] | Force: 3.28 | Vector: [-0.82, 0.53, 0.22]
Position: [-28.52, 82.42, 54.5] | Force: 3.28 | Vector: [-0.82, 0.53, 0.21]
Position: [-28.54, 82.35, 54.55] | Force: 3.28 | Vector: [-0.82, 0.53, 0.21]
Position: [-19.06, 76.64, 51.69] | Force: 4.42 | Vector: [-0.82, 0.52, 0.22]
Position: [-14.64, 73.78, 50.22] | Force: 4.42 | Vector: [-0.65, -0.76, 0.02]
Position: [-8.5, 69.71, 48.04] | Force: 4.42 | Vector: [-0.68, -0.73, 0.03]
Position: [-5.13, 67.03, 46.82] | Force: 4.42 | Vector: [-0.7, -0.71, 0.04]
Position: [-3.4, 65.2, 45.74] | Force: 4.42 | Vector: [-0.71, -0.7, 0.05]
Position: [-2.36, 63.47, 44.7] | Force: 4.42 | Vector: [-0.72, -0.69, 0.05]
Position: [-2.08, 62.19, 43.81] | Force: 4.42 | Vector: [-0.72, -0.69, 0.06]
Position: [-2.32, 61.53, 43.37] | Force: 4.42 | Vector: [-0.73, -0.69, 0.06]
Position: [-2.76, 60.64, 42.75] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-3.35, 59.98, 42.3] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-3.74, 59.56, 42.03] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-4.19, 59.26, 41.83] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-4.32, 59.29, 41.84] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-4.37, 59.44, 41.94] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-4.31, 59.8, 42.17] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-4.23, 60.22, 42.44] | Force: 4.42 | Vector: [-0.73, -0.68, 0.07]
Position: [-4.14, 60.81, 42.8] | Force: 4.42 | Vector: [-0.72, -0.69, 0.07]
Position: [-4.06, 61.32, 43.13] | Force: 4.42 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.99, 61.84, 43.44] | Force: 4.42 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.89, 62.54, 43.89] | Force: 4.42 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.8, 63.21, 44.29] | Force: 4.42 | Vector: [-0.72, -0.69, 0.06]
Position: [-3.73, 63.59, 44.56] | Force: 4.42 | Vector: [-0.72, -0.69, 0.05]
Position: [-3.68, 63.89, 44.72] | Force: 4.42 | Vector: [-0.72, -0.69, 0.05]
Position: [-3.64, 63.99, 44.81] | Force: 4.42 | Vector: [-0.72, -0.69, 0.05]
Position: [-3.63, 64.04, 44.79] | Force: 4.42 | Vector: [-0.72, -0.69, 0.05]
Position: [-3.6, 64.0, 44.74] | Force: 4.42 | Vector: [-0.72, -0.69, 0.05]
Position: [-3.6, 63.91, 44.61] | Force: 0.47 | Vector: [-0.7, 0.69, -0.18]
Position: [-3.62, 63.81, 44.47] | Force: 0.48 | Vector: [-0.69, 0.7, -0.15]
Position: [-3.66, 63.71, 44.31] | Force: 2.29 | Vector: [0.58, -0.74, -0.35]
Position: [-0.8, 59.99, 42.78] | Force: 4.23 | Vector: [0.54, -0.8, -0.25]
Position: [4.57, 52.02, 40.88] | Force: 4.85 | Vector: [0.5, -0.85, -0.19]
Position: [9.08, 44.36, 39.42] | Force: 4.77 | Vector: [0.47, -0.87, -0.16]
Position: [13.24, 36.11, 38.4] | Force: 4.53 | Vector: [0.45, -0.88, -0.17]
Position: [16.74, 28.32, 37.2] | Force: 4.44 | Vector: [0.42, -0.89, -0.19]
Position: [18.84, 22.09, 36.21] | Force: 4.22 | Vector: [0.41, -0.89, -0.2]
Position: [20.19, 18.08, 35.55] | Force: 4.03 | Vector: [0.41, -0.89, -0.2]
Position: [21.33, 14.63, 35.22] | Force: 3.88 | Vector: [0.4, -0.89, -0.2]
Position: [22.25, 11.68, 34.93] | Force: 3.73 | Vector: [0.4, -0.89, -0.21]
Position: [23.14, 9.22, 34.85] | Force: 3.59 | Vector: [0.4, -0.89, -0.21]
Position: [23.84, 7.38, 34.86] | Force: 3.66 | Vector: [0.38, -0.9, -0.21]
Position: [24.64, 5.68, 34.97] | Force: 4.06 | Vector: [0.35, -0.92, -0.19]
Position: [25.54, 2.95, 35.11] | Force: 4.7 | Vector: [0.3, -0.94, -0.16]
Position: [26.39, -0.62, 35.36] | Force: 5.59 | Vector: [0.24, -0.96, -0.14]
Position: [27.07, -6.33, 35.72] | Force: 5.26 | Vector: [0.23, -0.95, -0.21]
Position: [27.67, -9.65, 35.23] | Force: 4.95 | Vector: [0.23, -0.95, -0.23]
Position: [27.82, -11.68, 34.69] | Force: 4.75 | Vector: [0.24, -0.94, -0.23]
Position: [28.28, -12.85, 34.24] | Force: 4.63 | Vector: [0.23, -0.94, -0.24]
Position: [28.2, -13.35, 33.68] | Force: 4.57 | Vector: [0.24, -0.94, -0.23]
Position: [28.35, -13.48, 33.61] | Force: 4.55 | Vector: [0.23, -0.95, -0.23]
Position: [28.16, -13.27, 33.42] | Force: 4.57 | Vector: [0.24, -0.95, -0.22]
Position: [28.21, -12.9, 33.47] | Force: 4.61 | Vector: [0.23, -0.95, -0.22]
Position: [27.95, -12.44, 33.27] | Force: 4.65 | Vector: [0.24, -0.95, -0.22]
Position: [27.94, -12.16, 33.33] | Force: 4.68 | Vector: [0.24, -0.95, -0.22]
new spring created 
Position: [-1.91, 21.27, 17.44] | Force: 5.43 | Vector: [-0.09, 0.78, 0.61]
Position: [-5.36, 58.76, 47.93] | Force: 5.43 | Vector: [-0.73, -0.68, 0.03]
Position: [-5.36, 60.56, 49.82] | Force: 5.43 | Vector: [-0.73, -0.69, 0.02]
Position: [-5.4, 61.34, 50.79] | Force: 5.43 | Vector: [-0.72, -0.69, 0.02]
Position: [-5.3, 61.69, 51.33] | Force: 5.43 | Vector: [-0.72, -0.69, 0.01]
Position: [-5.29, 61.83, 51.66] | Force: 5.43 | Vector: [-0.72, -0.69, 0.01]
Position: [-5.26, 62.1, 51.9] | Force: 5.43 | Vector: [-0.72, -0.69, 0.01]
Position: [-5.28, 62.37, 51.98] | Force: 5.43 | Vector: [-0.72, -0.69, 0.01]
Position: [-5.32, 62.58, 52.01] | Force: 0.27 | Vector: [-0.69, 0.62, -0.37]
Position: [-5.23, 62.65, 52.08] | Force: 1.28 | Vector: [-0.73, 0.68, 0.02]
Position: [-7.92, 65.12, 52.01] | Force: 2.15 | Vector: [-0.74, 0.65, 0.2]
Position: [-11.48, 68.28, 53.29] | Force: 2.19 | Vector: [-0.74, 0.63, 0.23]
Position: [-13.98, 70.53, 54.28] | Force: 2.22 | Vector: [-0.75, 0.61, 0.27]
Position: [-16.66, 72.95, 56.09] | Force: 2.32 | Vector: [-0.76, 0.58, 0.28]
Position: [-19.25, 75.15, 57.53] | Force: 2.11 | Vector: [-0.77, 0.57, 0.27]
Position: [-20.64, 76.54, 58.7] | Force: 1.89 | Vector: [-0.79, 0.56, 0.24]
Position: [-21.31, 77.4, 59.12] | Force: 1.78 | Vector: [-0.8, 0.55, 0.24]
Position: [-21.62, 78.07, 59.86] | Force: 1.73 | Vector: [-0.82, 0.54, 0.2]
Position: [-21.77, 78.47, 59.91] | Force: 1.69 | Vector: [-0.83, 0.52, 0.2]
Position: [-21.67, 78.68, 60.28] | Force: 2.16 | Vector: [-0.83, 0.51, 0.23]
Position: [-22.61, 79.32, 60.75] | Force: 2.12 | Vector: [-0.83, 0.5, 0.22]
Position: [-23.04, 79.59, 61.09] | Force: 2.06 | Vector: [-0.84, 0.5, 0.21]
Position: [-23.49, 79.78, 61.2] | Force: 2.01 | Vector: [-0.84, 0.51, 0.21]
Position: [-23.65, 79.81, 61.35] | Force: 1.99 | Vector: [-0.83, 0.51, 0.21]
Position: [-23.76, 79.8, 61.29] | Force: 1.98 | Vector: [-0.83, 0.51, 0.21]
Position: [-23.79, 79.72, 61.28] | Force: 1.99 | Vector: [-0.83, 0.52, 0.21]
Position: [-23.85, 79.61, 61.18] | Force: 1.99 | Vector: [-0.83, 0.52, 0.22]
Position: [-23.86, 79.47, 61.13] | Force: 2.0 | Vector: [-0.82, 0.53, 0.22]
Position: [-23.91, 79.3, 60.99] | Force: 2.0 | Vector: [-0.82, 0.53, 0.22]
Position: [-23.91, 79.12, 60.92] | Force: 2.02 | Vector: [-0.81, 0.54, 0.23]
Position: [-23.96, 78.97, 60.79] | Force: 2.02 | Vector: [-0.81, 0.54, 0.23]
Position: [-23.96, 78.83, 60.76] | Force: 2.03 | Vector: [-0.8, 0.55, 0.23]
Position: [-23.99, 78.8, 60.7] | Force: 2.03 | Vector: [-0.8, 0.55, 0.23]
Position: [-23.98, 78.78, 60.72] | Force: 2.03 | Vector: [-0.8, 0.55, 0.23]
Position: [-23.97, 78.81, 60.73] | Force: 2.03 | Vector: [-0.8, 0.55, 0.23]
Position: [-23.96, 78.85, 60.8] | Force: 2.03 | Vector: [-0.8, 0.55, 0.23]
new spring created 
Position: [-3.63, 36.28, 30.66] | Force: 0.0 | Vector: [-0.8, -0.57, 0.17]
Position: [-5.94, 62.11, 53.99] | Force: 0.0 | Vector: [-0.72, -0.7, -0.0]
Position: [-6.06, 63.02, 54.78] | Force: 0.0 | Vector: [-0.71, -0.7, -0.01]
Position: [-6.11, 63.1, 54.84] | Force: 0.0 | Vector: [-0.71, -0.7, -0.01]
Position: [-6.06, 63.03, 54.85] | Force: 0.0 | Vector: [-0.72, -0.7, -0.01]
Position: [-5.95, 63.04, 54.9] | Force: 0.55 | Vector: [-0.73, 0.68, -0.1]
Position: [-5.81, 63.11, 55.03] | Force: 0.55 | Vector: [-0.75, 0.65, -0.12]
Position: [-5.66, 63.18, 55.12] | Force: 2.13 | Vector: [-0.75, 0.65, 0.12]
Position: [-6.34, 63.91, 55.24] | Force: 2.9 | Vector: [-0.76, 0.63, 0.14]
Position: [-7.15, 64.67, 55.47] | Force: 2.93 | Vector: [-0.77, 0.63, 0.13]
Position: [-7.97, 65.37, 55.65] | Force: 2.96 | Vector: [-0.77, 0.62, 0.14]
Position: [-8.53, 65.92, 55.86] | Force: 3.21 | Vector: [-0.77, 0.61, 0.15]
Position: [-9.06, 66.48, 56.08] | Force: 3.41 | Vector: [-0.78, 0.61, 0.15]
Position: [-9.35, 66.85, 56.25] | Force: 3.87 | Vector: [-0.79, 0.59, 0.17]
Position: [-9.82, 67.38, 56.48] | Force: 3.88 | Vector: [-0.79, 0.59, 0.16]
Position: [-10.07, 67.77, 56.68] | Force: 4.26 | Vector: [-0.8, 0.57, 0.17]
Position: [-10.4, 68.17, 56.86] | Force: 4.37 | Vector: [-0.81, 0.57, 0.15]
Position: [-10.67, 68.55, 57.02] | Force: 4.41 | Vector: [-0.81, 0.56, 0.15]
Position: [-10.82, 68.85, 57.15] | Force: 4.39 | Vector: [-0.81, 0.56, 0.15]
Position: [-10.93, 69.11, 57.24] | Force: 4.37 | Vector: [-0.82, 0.56, 0.15]
Position: [-10.98, 69.28, 57.31] | Force: 4.35 | Vector: [-0.82, 0.56, 0.15]
Position: [-10.98, 69.36, 57.32] | Force: 4.35 | Vector: [-0.82, 0.56, 0.15]
Position: [-11.0, 69.44, 57.34] | Force: 4.34 | Vector: [-0.82, 0.55, 0.15]
Position: [-10.99, 69.46, 57.32] | Force: 4.34 | Vector: [-0.82, 0.55, 0.15]
Position: [-11.02, 69.48, 57.3] | Force: 4.34 | Vector: [-0.82, 0.55, 0.15]
Position: [-11.01, 69.45, 57.26] | Force: 4.34 | Vector: [-0.82, 0.55, 0.15]
